Comment: ACERO: frecuencia: 34.450000E0
 Hz
Time (s),Voltage (V)
1.340640000000000054e+00,1.033852771003327176e+00
1.340680000000000094e+00,1.032865883238532900e+00
1.340719999999999912e+00,1.031385551593850147e+00
1.340759999999999952e+00,1.031221070300182063e+00
1.340799999999999992e+00,1.031056589006551061e+00
1.340840000000000032e+00,1.029905219952172768e+00
1.340880000000000072e+00,1.028589369606534243e+00
1.340919999999999890e+00,1.027602481848858718e+00
1.340959999999999930e+00,1.026451112799918075e+00
1.340999999999999970e+00,1.026286631507359992e+00
1.341040000000000010e+00,1.025135262460485031e+00
1.341080000000000050e+00,1.023654930831440657e+00
1.341120000000000090e+00,1.023819412123409656e+00
1.341159999999999908e+00,1.022503561788687731e+00
1.341199999999999948e+00,1.021681155330680602e+00
1.341239999999999988e+00,1.020694267582282100e+00
1.341280000000000028e+00,1.019213935962157480e+00
1.341320000000000068e+00,1.018227048217054120e+00
1.341360000000000108e+00,1.017733604344996046e+00
1.341399999999999926e+00,1.016911197892295560e+00
1.341439999999999966e+00,1.018884973380310255e+00
1.341480000000000006e+00,1.017404641763806294e+00
1.341520000000000046e+00,1.015924310150258858e+00
1.341560000000000086e+00,1.015266384989629955e+00
1.341599999999999904e+00,1.014443978539663060e+00
1.341639999999999944e+00,1.013128128221606694e+00
1.341679999999999984e+00,1.011812277905874691e+00
1.341720000000000024e+00,1.010660908881512832e+00
1.341760000000000064e+00,1.009838502436626761e+00
1.341800000000000104e+00,1.008851614703956789e+00
1.341839999999999922e+00,1.007206801819063635e+00
1.341879999999999962e+00,1.006548876666116366e+00
1.341920000000000002e+00,1.005397507649845590e+00
1.341960000000000042e+00,1.004246138635338070e+00
1.342000000000000082e+00,1.003423732197482376e+00
1.342039999999999900e+00,1.002930288335199593e+00
1.342079999999999940e+00,1.001943400611602586e+00
1.342119999999999980e+00,1.000627550315479564e+00
1.342160000000000020e+00,9.998051438815657166e-01
1.342200000000000060e+00,9.986537748755870414e-01
1.342240000000000100e+00,9.973379245851814456e-01
1.342279999999999918e+00,9.965155181548362995e-01
1.342319999999999958e+00,9.956931117253811081e-01
1.342359999999999998e+00,9.942127801546015720e-01
1.342400000000000038e+00,9.907586731672889391e-01
1.342440000000000078e+00,9.902652293132327976e-01
1.342479999999999896e+00,9.892783416060738633e-01
1.342519999999999936e+00,9.891138603216708125e-01
1.342559999999999976e+00,9.884559351844118824e-01
1.342600000000000016e+00,9.876335287636311966e-01
1.342640000000000056e+00,9.864821597760169425e-01
1.342680000000000096e+00,9.858242346410112100e-01
1.342719999999999914e+00,9.851663095065675835e-01
1.342759999999999954e+00,9.841794218059553012e-01
1.342799999999999994e+00,9.831925341066053425e-01
1.342840000000000034e+00,9.828635715404355766e-01
1.342880000000000074e+00,9.817122025599438473e-01
1.342919999999999892e+00,9.805608335811651921e-01
1.342959999999999932e+00,9.797384271687991086e-01
1.342999999999999972e+00,9.789160207573049943e-01
1.343040000000000012e+00,9.784225769108265691e-01
1.343080000000000052e+00,9.766132828097519036e-01
1.343120000000000092e+00,9.764488015280445854e-01
1.343159999999999910e+00,9.761198389647341989e-01
1.343199999999999950e+00,9.751329512756358175e-01
1.343239999999999990e+00,9.739815823065985922e-01
1.343280000000000030e+00,9.729946946202029379e-01
1.343320000000000070e+00,9.720078069350521766e-01
1.343360000000000110e+00,9.710209192511446430e-01
1.343399999999999928e+00,9.726657320583476096e-01
1.343439999999999968e+00,9.713498818123090794e-01
1.343480000000000008e+00,9.711854005317096528e-01
1.343520000000000048e+00,9.695405877276115358e-01
1.343560000000000088e+00,9.692116251672053817e-01
1.343599999999999905e+00,9.688826626069367842e-01
1.343639999999999946e+00,9.670733685279183645e-01
1.343679999999999986e+00,9.665799246889072993e-01
1.343720000000000026e+00,9.655930370118110950e-01
1.343760000000000066e+00,9.646061493359483485e-01
1.343800000000000106e+00,9.641127054984790501e-01
1.343839999999999923e+00,9.631258178244634927e-01
1.343879999999999963e+00,9.618099675943553306e-01
1.343920000000000003e+00,9.618099675943553306e-01
1.343960000000000043e+00,9.604941173664293119e-01
1.344000000000000083e+00,9.598361922532835377e-01
1.344039999999999901e+00,9.590137858626166523e-01
1.344079999999999941e+00,9.573689730838300660e-01
1.344119999999999981e+00,9.570400105284798675e-01
1.344160000000000021e+00,9.553951977537611384e-01
1.344200000000000061e+00,9.557241603084341008e-01
1.344240000000000101e+00,9.550662351992235122e-01
1.344279999999999919e+00,9.540793475364217624e-01
1.344319999999999959e+00,9.534214224285624262e-01
1.344359999999999999e+00,9.494738717927265759e-01
1.344400000000000039e+00,9.491449092406142318e-01
1.344440000000000079e+00,9.488159466886362248e-01
1.344479999999999897e+00,9.478290590335066712e-01
1.344519999999999937e+00,9.470066526551530472e-01
1.344559999999999977e+00,9.470066526551530472e-01
1.344600000000000017e+00,9.461842462776360874e-01
1.344640000000000057e+00,9.456908024515269240e-01
1.344680000000000097e+00,9.448683960753462285e-01
1.344719999999999915e+00,9.448683960753462285e-01
1.344759999999999955e+00,9.440459896999998657e-01
1.344799999999999995e+00,9.433880646003226511e-01
1.344840000000000035e+00,9.425656582264754224e-01
1.344880000000000075e+00,9.424011769518059189e-01
1.344919999999999893e+00,9.417432518534599728e-01
1.344959999999999933e+00,9.412498080300493175e-01
1.344999999999999973e+00,9.409208454812750810e-01
1.345040000000000013e+00,9.394405140134332033e-01
1.345080000000000053e+00,9.392760327393943065e-01
1.345120000000000093e+00,9.379601825482749566e-01
1.345159999999999911e+00,9.377957012745338217e-01
1.345199999999999951e+00,9.374667387271508057e-01
1.345239999999999991e+00,9.374667387271508057e-01
1.345280000000000031e+00,9.361508885389404622e-01
1.345320000000000071e+00,9.354929634456272680e-01
1.345359999999999889e+00,9.381246638220489542e-01
1.345399999999999929e+00,9.371377761799001282e-01
1.345439999999999969e+00,9.363153698123511948e-01
1.345480000000000009e+00,9.349995196259884844e-01
1.345520000000000049e+00,9.353284821723814035e-01
1.345560000000000089e+00,9.335191881688498228e-01
1.345599999999999907e+00,9.338481507146504379e-01
1.345639999999999947e+00,9.330257443503957582e-01
1.345679999999999987e+00,9.326967818049238801e-01
1.345720000000000027e+00,9.317098941692962821e-01
1.345760000000000067e+00,9.312164503519253511e-01
1.345800000000000107e+00,9.312164503519253511e-01
1.345839999999999925e+00,9.302295627180684479e-01
1.345879999999999965e+00,9.294071563574209938e-01
1.345920000000000005e+00,9.287492312694917151e-01
1.345960000000000045e+00,9.285847499975911079e-01
1.346000000000000085e+00,9.272688998235613100e-01
1.346039999999999903e+00,9.275978623668729162e-01
1.346079999999999943e+00,9.261175309229970898e-01
1.346119999999999983e+00,9.266109747373291183e-01
1.346160000000000023e+00,9.252951245664281510e-01
1.346200000000000063e+00,9.252951245664281510e-01
1.346240000000000103e+00,9.251306432952117742e-01
1.346279999999999921e+00,9.239792743976081857e-01
1.346319999999999961e+00,9.210186115253543582e-01
1.346360000000000001e+00,9.203606864440555535e-01
1.346400000000000041e+00,9.205251677143317934e-01
1.346440000000000081e+00,9.195382800931588552e-01
1.346479999999999899e+00,9.206896489846403409e-01
1.346519999999999939e+00,9.192093175530260396e-01
1.346559999999999979e+00,9.197027613632735576e-01
1.346600000000000019e+00,9.197027613632735576e-01
1.346640000000000059e+00,9.188803550130223430e-01
1.346680000000000099e+00,9.183869112032585491e-01
1.346719999999999917e+00,9.183869112032585491e-01
1.346759999999999957e+00,9.183869112032585491e-01
1.346799999999999997e+00,9.178934673937847455e-01
1.346840000000000037e+00,9.175645048542965254e-01
1.346880000000000077e+00,9.167420985061393024e-01
1.346919999999999895e+00,9.178934673937847455e-01
1.346959999999999935e+00,9.165776172366042474e-01
1.346999999999999975e+00,9.169065797757063319e-01
1.347040000000000015e+00,9.160841734281921500e-01
1.347080000000000055e+00,9.159196921587856588e-01
1.347120000000000095e+00,9.155907296200690437e-01
1.347159999999999913e+00,9.152617670814808815e-01
1.347199999999999953e+00,9.152617670814808815e-01
1.347239999999999993e+00,9.155907296200690437e-01
1.347280000000000033e+00,9.144393607355717490e-01
1.347320000000000073e+00,9.169065797757063319e-01
1.347359999999999891e+00,9.170710610453056688e-01
1.347399999999999931e+00,9.150972858122349285e-01
1.347439999999999971e+00,9.152617670814808815e-01
1.347480000000000011e+00,9.146038420046895823e-01
1.347520000000000051e+00,9.150972858122349285e-01
1.347560000000000091e+00,9.152617670814808815e-01
1.347599999999999909e+00,9.141103981974326720e-01
1.347639999999999949e+00,9.141103981974326720e-01
1.347679999999999989e+00,9.134524731215384330e-01
1.347720000000000029e+00,9.131235105837836041e-01
1.347760000000000069e+00,9.132879918526450869e-01
1.347800000000000109e+00,9.134524731215384330e-01
1.347839999999999927e+00,9.124655855086575285e-01
1.347879999999999967e+00,9.127945480461565619e-01
