Distance_(mm),Gray_Value
12.0710,81.323
12.0885,81.383
12.1061,85.155
12.1236,89.702
12.1411,91.985
12.1586,95.569
12.1761,101.931
12.1936,101.796
12.2112,99.320
12.2287,97.969
12.2462,97.530
12.2637,98.057
12.2812,97.667
12.2988,99.998
12.3163,102.883
12.3338,104.821
12.3513,107.232
12.3688,110.487
12.3864,117.420
12.4039,123.647
12.4214,119.487
12.4389,112.775
12.4564,110.397
12.4740,107.473
12.4915,107.926
12.5090,108.507
12.5265,108.120
12.5440,109.747
12.5616,113.939
12.5791,120.395
12.5966,128.987
12.6141,132.821
12.6316,130.711
12.6492,122.090
12.6667,114.682
12.6842,112.390
12.7017,113.782
12.7192,115.463
12.7368,115.527
12.7543,114.891
12.7718,113.622
12.7893,112.750
12.8068,113.097
12.8244,112.912
12.8419,111.049
12.8594,107.812
12.8769,104.423
12.8944,102.746
12.9120,103.594
12.9295,102.772
12.9470,101.367
12.9645,99.479
12.9820,97.555
12.9996,96.007
13.0171,93.631
13.0346,91.262
13.0521,90.221
13.0696,90.703
13.0871,93.629
13.1047,97.817
13.1222,98.814
13.1397,97.741
13.1572,96.262
13.1747,91.498
13.1923,86.678
13.2098,85.727
13.2273,87.647
13.2448,89.531
13.2623,90.676
13.2799,91.403
13.2974,90.238
13.3149,89.140
13.3324,87.606
13.3499,85.033
13.3675,83.338
13.3850,84.375
13.4025,89.438
13.4200,98.442
13.4375,104.424
13.4551,105.716
13.4726,108.811
13.4901,110.284
13.5076,111.354
13.5251,112.022
13.5427,112.100
13.5602,113.035
13.5777,114.455
13.5952,115.332
13.6127,116.844
13.6303,118.213
13.6478,119.505
13.6653,121.034
13.6828,122.609
13.7003,123.499
13.7179,124.880
13.7354,127.531
13.7529,130.883
13.7704,134.015
13.7879,136.131
13.8055,135.797
13.8230,132.964
13.8405,130.604
13.8580,129.180
13.8755,130.173
13.8931,132.932
13.9106,136.177
13.9281,137.861
13.9456,136.647
13.9631,133.533
13.9806,129.812
13.9982,128.531
14.0157,131.264
14.0332,133.443
14.0507,134.196
14.0682,133.668
14.0858,132.227
14.1033,131.224
14.1208,132.448
14.1383,135.904
14.1558,138.924
14.1734,138.271
14.1909,133.688
14.2084,129.933
14.2259,128.093
14.2434,127.958
14.2610,130.881
14.2785,132.222
14.2960,130.458
14.3135,129.589
14.3310,130.184
14.3486,130.775
14.3661,131.043
14.3836,132.224
14.4011,132.781
14.4186,131.066
14.4362,127.512
14.4537,122.750
14.4712,119.454
14.4887,119.155
14.5062,120.476
14.5238,119.296
14.5413,117.025
14.5588,115.370
14.5763,113.698
14.5938,112.877
14.6114,114.280
14.6289,114.984
14.6464,115.302
14.6639,113.716
14.6814,109.127
14.6990,106.083
14.7165,105.952
14.7340,107.087
14.7515,111.497
14.7690,116.215
14.7866,117.676
14.8041,116.665
14.8216,115.459
14.8391,115.445
14.8566,115.637
14.8741,115.174
14.8917,115.805
14.9092,118.410
14.9267,120.830
14.9442,123.100
14.9617,125.966
14.9793,128.211
14.9968,130.054
15.0143,130.735
15.0318,130.870
15.0493,131.474
15.0669,134.028
15.0844,135.611
15.1019,137.491
15.1194,138.986
15.1369,141.381
15.1545,142.785
15.1720,140.914
15.1895,139.334
15.2070,139.553
15.2245,140.139
15.2421,142.886
15.2596,146.095
15.2771,148.259
15.2946,147.914
15.3121,149.040
15.3297,149.510
15.3472,149.139
15.3647,148.674
15.3822,148.367
15.3997,148.745
15.4173,150.056
15.4348,151.641
15.4523,153.142
15.4698,154.056
15.4873,153.988
15.5049,152.830
15.5224,152.052
15.5399,151.554
15.5574,150.809
15.5749,150.564
15.5925,151.437
15.6100,153.284
15.6275,155.209
15.6450,154.796
15.6625,153.700
15.6801,153.056
15.6976,152.264
15.7151,151.100
15.7326,149.701
15.7501,147.905
15.7676,146.651
15.7852,146.385
15.8027,146.633
15.8202,146.263
15.8377,144.634
15.8552,143.596
15.8728,143.230
15.8903,143.319
15.9078,143.648
15.9253,141.198
15.9428,137.543
15.9604,135.063
15.9779,134.750
15.9954,135.925
16.0129,140.036
16.0304,140.827
16.0480,137.469
16.0655,132.679
16.0830,127.753
16.1005,125.165
16.1180,125.052
16.1356,128.626
16.1531,132.885
16.1706,136.392
16.1881,137.327
16.2056,134.287
16.2232,132.913
16.2407,134.106
16.2582,136.532
16.2757,136.905
16.2932,135.777
16.3108,134.831
16.3283,134.325
16.3458,134.760
16.3633,134.235
16.3808,135.422
16.3984,140.209
16.4159,142.765
16.4334,143.583
16.4509,143.224
16.4684,142.889
16.4860,145.333
16.5035,151.383
16.5210,153.562
16.5385,158.171
16.5560,160.851
16.5736,162.649
16.5911,166.748
16.6086,170.709
16.6261,174.025
16.6436,178.583
16.6611,180.206
16.6787,182.730
16.6962,184.598
16.7137,182.876
16.7312,185.394
16.7487,191.669
16.7663,194.218
16.7838,198.833
16.8013,205.119
16.8188,209.108
16.8363,206.581
16.8539,200.858
16.8714,198.613
16.8889,201.820
16.9064,205.177
16.9239,207.481
16.9415,209.709
16.9590,209.471
16.9765,206.982
16.9940,205.294
17.0115,205.853
17.0291,208.020
17.0466,209.368
17.0641,204.140
17.0816,197.802
17.0991,197.922
17.1167,205.299
17.1342,209.408
17.1517,204.273
17.1692,197.475
17.1867,194.309
17.2043,196.168
17.2218,201.619
17.2393,204.345
17.2568,201.784
17.2743,193.218
17.2919,186.537
17.3094,185.169
17.3269,182.514
17.3444,176.297
17.3619,175.691
17.3795,175.439
17.3970,170.899
17.4145,167.065
17.4320,166.484
17.4495,166.375
17.4671,161.182
17.4846,155.586
17.5021,153.371
17.5196,152.404
17.5371,151.293
17.5546,150.263
17.5722,147.594
17.5897,145.751
17.6072,144.735
17.6247,144.832
17.6422,144.768
17.6598,144.092
17.6773,143.520
17.6948,144.930
17.7123,145.430
17.7298,146.469
17.7474,147.213
17.7649,149.826
17.7824,151.931
17.7999,157.440
17.8174,158.470
17.8350,162.985
17.8525,170.206
17.8700,181.115
17.8875,188.282
17.9050,192.323
17.9226,192.331
17.9401,193.267
17.9576,195.962
17.9751,202.657
17.9926,210.864
18.0102,215.050
18.0277,216.420
18.0452,217.158
18.0627,216.794
18.0802,218.632
18.0978,224.587
18.1153,231.358
18.1328,236.605
18.1503,241.805
18.1678,243.729
18.1854,244.935
18.2029,244.790
18.2204,244.648
18.2379,244.974
18.2554,244.878
18.2730,245.616
18.2905,246.166
18.3080,244.935
18.3255,244.572
18.3430,245.005
18.3606,243.741
18.3781,243.140
18.3956,245.074
18.4131,247.594
18.4306,251.083
18.4482,252.222
18.4657,252.206
18.4832,251.920
18.5007,252.718
18.5182,252.092
18.5357,251.864
18.5533,252.171
18.5708,252.355
18.5883,252.433
18.6058,252.193
18.6233,251.320
18.6409,250.936
18.6584,251.256
18.6759,251.416
18.6934,251.528
18.7109,250.828
18.7285,250.323
18.7460,249.953
18.7635,249.357
18.7810,249.724
18.7985,249.961
18.8161,249.180
18.8336,247.607
18.8511,245.395
18.8686,244.169
18.8861,242.785
18.9037,239.908
18.9212,237.400
18.9387,238.762
18.9562,240.398
18.9737,239.318
18.9913,239.821
19.0088,240.029
19.0263,238.884
19.0438,235.712
19.0613,236.265
19.0789,237.436
19.0964,235.129
19.1139,233.966
19.1314,236.300
19.1489,238.138
19.1665,238.790
19.1840,241.544
19.2015,245.269
19.2190,248.054
19.2365,249.975
19.2541,251.686
19.2716,253.245
19.2891,253.772
19.3066,253.726
19.3241,253.702
19.3417,254.380
19.3592,254.841
19.3767,254.765
19.3942,254.814
19.4117,254.897
19.4292,254.908
19.4468,254.719
19.4643,254.607
19.4818,254.854
19.4993,254.995
19.5168,255.000
19.5344,255.000
19.5519,255.000
19.5694,255.000
19.5869,255.000
19.6044,255.000
19.6220,255.000
19.6395,255.000
19.6570,255.000
19.6745,255.000
19.6920,255.000
19.7096,255.000
19.7271,255.000
19.7446,255.000
19.7621,255.000
19.7796,255.000
19.7972,255.000
19.8147,255.000
19.8322,255.000
19.8497,255.000
19.8672,255.000
19.8848,255.000
19.9023,255.000
19.9198,255.000
19.9373,255.000
19.9548,255.000
19.9724,255.000
19.9899,255.000
20.0074,255.000
20.0249,255.000
20.0424,255.000
20.0600,255.000
20.0775,255.000
20.0950,255.000
20.1125,255.000
20.1300,255.000
20.1476,255.000
20.1651,255.000
20.1826,255.000
20.2001,255.000
20.2176,255.000
20.2352,255.000
20.2527,255.000
20.2702,255.000
20.2877,255.000
20.3052,255.000
20.3227,254.827
20.3403,254.808
20.3578,254.808
20.3753,254.808
20.3928,254.808
20.4103,254.808
20.4279,254.808
20.4454,254.808
20.4629,254.808
20.4804,254.808
20.4979,254.808
20.5155,254.808
20.5330,254.809
20.5505,254.810
20.5680,254.812
20.5855,254.813
20.6031,254.982
20.6206,255.000
20.6381,255.000
20.6556,255.000
20.6731,255.000
20.6907,255.000
20.7082,255.000
20.7257,255.000
20.7432,255.000
20.7607,255.000
20.7783,255.000
20.7958,255.000
20.8133,255.000
20.8308,255.000
20.8483,255.000
20.8659,255.000
20.8834,254.956
20.9009,254.779
20.9184,254.778
20.9359,254.777
20.9535,254.776
20.9710,254.820
20.9885,255.000
21.0060,255.000
21.0235,255.000
21.0411,255.000
21.0586,255.000
21.0761,254.952
21.0936,254.765
21.1111,254.764
21.1287,254.763
21.1462,254.761
21.1637,254.809
21.1812,255.000
21.1987,255.000
21.2162,255.000
21.2338,255.000
21.2513,255.000
21.2688,255.000
21.2863,255.000
21.3038,255.000
21.3214,255.000
21.3389,255.000
21.3564,255.000
21.3739,255.000
21.3914,255.000
21.4090,255.000
21.4265,255.000
21.4440,255.000
21.4615,255.000
21.4790,255.000
21.4966,255.000
21.5141,255.000
21.5316,255.000
21.5491,255.000
21.5666,255.000
21.5842,255.000
21.6017,255.000
21.6192,255.000
21.6367,255.000
21.6542,255.000
