Distance_(mm),Gray_Value
17.4495,128.033
17.4671,126.577
17.4846,121.397
17.5021,117.326
17.5196,118.393
17.5371,121.312
17.5546,122.224
17.5722,122.658
17.5897,121.084
17.6072,117.363
17.6247,113.028
17.6422,111.197
17.6598,109.860
17.6773,109.330
17.6948,110.253
17.7123,109.854
17.7298,107.292
17.7474,104.718
17.7649,102.672
17.7824,99.886
17.7999,96.109
17.8174,90.439
17.8350,86.841
17.8525,83.984
17.8700,80.815
17.8875,78.994
17.9050,78.458
17.9226,78.311
17.9401,78.319
17.9576,77.726
17.9751,76.158
17.9926,74.740
18.0102,74.891
18.0277,76.895
18.0452,78.669
18.0627,77.238
18.0802,74.584
18.0978,74.632
18.1153,77.732
18.1328,83.117
18.1503,87.008
18.1678,88.187
18.1854,88.466
18.2029,88.398
18.2204,87.619
18.2379,88.585
18.2554,93.321
18.2730,106.580
18.2905,121.454
18.3080,126.533
18.3255,121.489
18.3430,117.535
18.3606,117.560
18.3781,119.909
18.3956,122.908
18.4131,126.366
18.4306,129.399
18.4482,131.377
18.4657,133.020
18.4832,134.710
18.5007,135.876
18.5182,136.483
18.5357,136.971
18.5533,139.380
18.5708,142.571
18.5883,144.010
18.6058,144.038
18.6233,144.753
18.6409,146.592
18.6584,146.588
18.6759,146.025
18.6934,147.453
18.7109,150.470
18.7285,151.093
18.7460,151.868
18.7635,152.999
18.7810,153.961
18.7985,154.539
18.8161,156.478
18.8336,158.009
18.8511,158.114
18.8686,156.406
18.8861,155.918
18.9037,157.058
18.9212,163.254
18.9387,166.275
18.9562,169.547
18.9737,171.366
18.9913,169.083
19.0088,166.938
19.0263,165.117
19.0438,165.321
19.0613,166.438
19.0789,168.006
19.0964,168.778
19.1139,168.668
19.1314,168.778
19.1489,168.228
19.1665,169.390
19.1840,170.759
19.2015,171.160
19.2190,170.620
19.2365,169.606
19.2541,169.385
19.2716,169.609
19.2891,170.329
19.3066,171.164
19.3241,170.971
19.3417,167.562
19.3592,164.799
19.3767,162.806
19.3942,163.675
19.4117,163.438
19.4292,161.589
19.4468,159.200
19.4643,156.605
19.4818,156.614
19.4993,157.724
19.5168,157.851
19.5344,155.833
19.5519,152.616
19.5694,151.305
19.5869,152.012
